read2_code,phecode
B514.,191.11
B516.,191.11
B517.,191.11
B51z.,191.11
B52..,191.1
B522.,191.1
B5241,170.2
B5242,170.2
B525.,191.1
B53..,193.0
B540.,194.0
B5400,194.0
B541.,194.0
B5420,194.0
B550.,195.3
B5500,195.3
B5501,195.3
B5503,195.3
B5504,195.3
B5510,164.0
B552.,195.1
B553.,195.1
B554.,195.1
B55yz,195.1
B5602,198.1
B5608,198.1
B5619,198.1
B562.,198.1
B563.,198.1
B5630,198.1
B564.,198.1
B5640,198.1
B56z.,198.1
B570.,198.2
B571.,198.2
B572.,198.2
B5750,198.3
B576.,198.3
B5760,198.3
B5761,198.3
B577.,198.4
B58..,198.0
B580.,198.0
B5810,198.0
B5811,198.0
B582.,198.7
B582z,198.7
B5830,198.5
B5831,198.5
B585.,198.6
B586.,198.0
B587.,198.0
B58y0,198.0
B58y5,198.0
B58y6,198.0
B58yz,198.0
B600.,202.24
B601.,202.2
B602.,202.2
B602z,202.2
B61..,201.0
B6103,201.0
B6110,201.0
B6111,201.0
B612.,201.0
B6131,201.0
B614.,201.0
B6141,201.0
B6142,201.0
B614z,201.0
B615.,201.0
B61z.,201.0
B61z0,201.0
B61z1,201.0
B6200,202.21
B6207,202.21
B621.,202.2
B6210,202.2
B621z,202.2
B624.,204.0
B625.,202.0
B625.,277.0
B626.,202.0
B627.,202.2
B6275,202.2
B6278,202.2
B627B,202.2
B62y0,202.2
B62y1,202.2
B62y3,202.2
B62y6,202.2
B62z.,202.2
B630.,204.4
B64..,204.1
B640.,204.11
B641.,204.12
B642.,204.1
B64y2,204.1
B65..,204.2
B650.,204.21
B651.,204.22
B65y1,204.21
B66..,204.3
B67..,204.0
B67z.,204.0
B68..,204.0
B680.,204.0
B681.,204.0
B68z.,204.0
B69..,204.21
B690.,204.21
B691.,204.3
B6y..,202.2
B6z..,202.2
B7...,229.0
B700.,210.0
B7001,210.0
B7005,210.0
B700z,210.0
B701.,210.0
B7010,210.0
B7013,210.0
B701z,210.0
B7020,210.0
B7021,210.0
B703.,210.0
B704.,210.0
B7040,210.0
B7041,210.0
B7042,210.0
B7044,210.0
B7045,210.0
B7046,210.0
B705.,210.0
B7061,210.0
B706z,210.0
B7071,210.0
B71..,211.0
B711.,211.0
B7111,211.0
B7112,211.0
B7113,211.0
B711z,211.0
B712.,211.0
B7120,211.0
B713.,208.0
B7130,208.0
B7131,208.0
B7132,208.0
B7133,208.0
B7134,208.0
B7136,208.0
B7138,208.0
B713z,208.0
B714.,208.0
B7140,208.0
B7141,208.0
B7142,208.0
B714z,211.0
B7150,211.0
B7153,211.0
B7155,211.0
B71z.,211.0
B7200,212.0
B7203,212.0
B7204,212.0
B7212,212.0
B7216,212.0
B7232,212.0
B7234,212.0
B727.,212.0
B73..,213.0
B7301,213.0
B7304,213.0
B7308,213.0
B730B,213.0
B731.,213.0
B7310,213.0
B7322,213.0
B7333,213.0
B7334,213.0
B7340,213.0
B7341,213.0
B7351,213.0
B7358,213.0
B7359,213.0
B7362,213.0
B737.,213.0
B7370,213.0
B7382,213.0
B73z.,213.0
B74..,214.0
B740.,214.1
B7400,214.1
B7402,214.1
B7404,214.1
B7405,214.1
B7406,214.1
B740z,214.1
B741.,229.0
B741.,214.1
B7410,214.1
B7411,214.1
B7412,214.1
B7413,214.1
B7414,214.1
B7415,214.1
B7416,214.1
B7417,214.1
B7418,214.1
B7419,214.1
B741A,214.1
B741C,214.1
B741D,214.1
B741E,214.1
B741F,214.1
B741G,214.1
B741H,214.1
B741z,229.0
B741z,214.1
B742.,214.0
B743.,214.0
B744.,214.0
B74y.,214.0
B74y0,214.0
B74y2,214.0
B74y3,214.0
B74z.,214.0
B75..,215.0
B7502,215.0
B751.,215.0
B7513,215.0
B7551,215.0
B7552,215.0
B755z,215.0
B760.,216.0
B761.,216.0
B7620,216.0
B7621,216.0
B762z,216.0
B763.,216.0
B7630,216.0
B7631,216.0
B7632,216.0
B7633,216.0
B7634,216.0
B7635,216.0
B763z,216.0
B764.,216.0
B7640,216.0
B7641,216.0
B764z,216.0
B765.,216.0
B7650,216.0
B7651,216.0
B7652,216.0
B7653,216.0
B7654,216.0
B7655,216.0
B7657,216.0
B7658,216.0
B7659,216.0
B765z,216.0
B766.,216.0
B7660,216.0
B7661,216.0
B7662,216.0
B7663,216.0
B766z,216.0
B767.,216.0
B7670,216.0
B7671,216.0
B7672,216.0
