read2_code,phecode
B341.,174.11
B342.,174.11
B343.,174.11
B344.,174.11
B345.,174.11
B346.,174.11
B347.,174.11
B34y.,174.11
B34yz,174.11
B34z.,174.11
B35..,174.11
B36..,174.11
B40..,182.0
B41..,180.1
B410.,180.1
B4100,180.1
B410z,180.1
B411.,180.1
B41y.,180.1
B41yz,180.1
B41z.,180.1
B420.,184.1
B43..,182.0
B4302,182.0
B4303,182.0
B4310,182.0
B43y.,182.0
B43z.,182.0
B44..,184.1
B440.,184.11
B441.,184.1
B45..,184.1
B450.,184.2
B451.,184.2
B454.,184.2
B45z.,184.1
B46..,185.0
B47..,187.2
B470.,187.2
B4702,187.2
B4703,187.2
B4710,187.2
B4711,187.2
B47z.,187.2
B481.,187.1
B483.,187.1
B49..,189.21
B492.,189.21
B493.,189.21
B494.,189.21
B496.,189.21
B498.,189.21
B49y.,189.21
B49z.,189.21
B4A..,189.11
B4A0.,189.11
B4A00,189.11
B4A1.,189.12
B4A10,189.12
B4A1z,189.12
B4A2.,189.4
B4Az.,189.4
B50..,190.0
B5000,190.0
B5001,190.0
B5003,190.0
B501.,190.0
B506.,190.0
B509.,190.0
B50z.,190.0
B51..,191.11
B511.,191.11
B512.,191.11
B516.,191.11
B51y.,191.11
B51z.,191.11
B521.,191.1
B522.,191.1
B525.,191.1
B52z.,191.1
B53..,193.0
B540.,194.0
B5400,194.0
B540z,194.0
B5420,194.0
B5421,194.0
B55..,195.1
B550.,195.3
B5500,195.3
B5501,195.3
B5504,195.3
B5510,164.0
B552.,195.1
B555.,195.1
B55y.,195.1
B55y0,195.1
B55yz,195.1
B55z.,195.1
B56..,198.1
B560.,198.1
B5602,198.1
B5613,198.1
B562z,198.1
B563.,198.1
B5630,198.1
B5640,198.1
B56z.,198.1
B57..,198.3
B570.,198.2
B572.,198.2
B575.,198.3
B5761,198.3
B5762,198.3
B577.,198.4
B57y.,198.3
B58..,198.0
B580.,198.0
B582.,198.7
B5822,198.7
B5830,198.5
B5832,198.5
B583z,198.5
B585.,198.6
B587.,198.0
B58y.,198.0
B58y0,198.0
B58y1,198.0
B58y4,198.0
B58y5,198.0
B58yz,198.0
B58z.,198.0
B5y..,195.1
B5z..,195.1
B601.,202.2
B602.,202.2
B61..,201.0
B613.,201.0
B614.,201.0
B615.,201.0
B617.,201.0
B618.,201.0
B61z0,201.0
B61z1,201.0
B61z4,201.0
B61z8,201.0
B6200,202.21
B620z,202.21
B621.,202.2
B624.,204.0
B625.,202.0
B625.,277.0
B627.,202.2
B6270,202.2
B6272,202.2
B6277,202.2
B627A,202.24
B627C,202.21
B627E,202.24
B627W,202.2
B627X,202.2
B628.,202.21
B6280,202.2
B6281,202.2
B62F0,202.2
B62F1,202.2
B62xX,202.2
B62y.,202.2
B62yz,202.2
B630.,204.4
B6300,204.4
B6303,204.4
B64..,204.1
B640.,204.11
B641.,204.12
B6410,204.12
B6411,204.12
B6413,204.12
B64y.,204.1
B64z.,204.1
B65..,204.2
B650.,204.21
B651.,204.22
B651z,204.22
B65z.,204.2
B66..,204.3
B67..,204.0
B675.,200.0
B67y.,204.0
B67z.,204.0
B68..,204.0
B680.,204.0
B681.,204.0
B68z.,204.0
B691.,204.3
B6y0.,200.0
B6z..,202.2
B6z0.,230.0
B7...,229.0
B70..,210.0
B700.,210.0
B7001,210.0
B7004,210.0
B700z,210.0
B701.,210.0
B702.,210.0
B7020,210.0
B7021,210.0
B7023,210.0
B703.,210.0
B704.,210.0
B7040,210.0
B7041,210.0
B7042,210.0
B7044,210.0
B7045,210.0
B7046,210.0
B7060,210.0
B7063,210.0
B707.,210.0
B71..,211.0
B710.,211.0
B711.,211.0
B7111,211.0
B711z,211.0
B712.,211.0
B7120,211.0
B7121,211.0
B7121,229.0
B713.,208.0
B7130,208.0
B7131,208.0
B7132,208.0
B7133,208.0
B7134,208.0
B7137,208.0
B713z,208.0
B7140,208.0
B7141,208.0
B7142,208.0
B7150,211.0
B7158,573.0
B716.,211.0
B7161,211.0
B717.,211.0
B7170,211.0
B72..,212.0
B720.,212.0
B7200,212.0
B721.,212.0
B7212,212.0
B721z,212.0
B723.,212.0
B7233,212.0
B723z,212.0
B724.,212.0
B725.,212.0
B725z,212.0
B727.,212.0
B728.,212.0
B73..,213.0
B7304,213.0
B7306,213.0
B730B,213.0
B730z,213.0
B7310,213.0
B733.,213.0
B7335,213.0
B7343,213.0
B7350,213.0
B7358,213.0
B7372,213.0
B7380,213.0
B7382,213.0
B73z.,213.0
B74..,214.0
B740.,214.1
B7400,214.1
B7402,214.1
B7407,214.1
B740z,214.1
B741.,214.0
B7410,214.1
B7411,214.1
B7412,214.1
B7413,214.1
B7414,214.1
B7415,214.1
B7416,214.1
B7417,214.1
B7419,214.1
B741A,214.1
B741B,214.1
B741C,214.1
B741E,214.1
B741F,214.1
B741G,214.1
B741H,214.1
B741J,214.1
B741K,214.1
B741L,214.1
B741z,229.0
B741z,214.1
B744.,214.0
B74y.,214.0
B74z.,214.0
B75..,215.0
B752.,215.0
B7522,215.0
B7550,215.0
B75y.,215.0
B76..,216.0
B760.,216.0
B761.,216.0
B7610,216.0
B762.,216.0
B763.,216.0
B7630,216.0
B7631,216.0
B7632,216.0
B7633,216.0
B7634,216.0
B7635,216.0
B763z,216.0
B764.,216.0
B7640,216.0
B7641,216.0
B765.,216.0
B7650,216.0
B7651,216.0
B7652,216.0
B7653,216.0
B7655,216.0
B7656,216.0
B7657,216.0
B7659,216.0
B765z,216.0
B766.,216.0
B7660,216.0
B7661,216.0
B7662,216.0
B7663,216.0
B766z,216.0
B767.,216.0
B7671,216.0
B7672,216.0
B7673,216.0
B7674,216.0
B768.,216.0
B7680,216.0
B7683,229.0
B7683,216.0
B7684,216.0
B7685,216.0
B7686,216.0
B7687,216.0
B7688,216.0
B768X,216.0
B76B.,288.0
B76C.,216.0
B76y.,216.0
B76z.,216.0
B77..,610.4
B770.,610.4
B771.,610.4
B77z.,610.4
B78..,218.1
B780.,218.1
B781.,218.1
B782.,218.1
B78z.,218.1
B79..,218.2
B790.,218.2
B7910,218.2
B7912,218.2
B79y.,218.2
B79z.,218.2
B7A..,220.0
B7A2.,220.0
B7B..,221.0
B7B1.,221.0
B7B10,221.0
B7B2.,221.0
B7B20,221.0
B7B21,221.0
B7B2z,221.0
B7Bz.,221.0
B7C0.,222.0
B7C1.,222.0
B7C11,222.0
B7C2.,222.0
B7C20,222.0
B7C3.,222.0
B7C4.,222.0
B7D..,223.0
B7D0.,223.0
B7D3.,223.0
B7D30,223.0
B7Dz.,223.0
B7E..,224.0
B7E01,224.1
B7E02,224.1
B7E3.,224.0
B7E6.,224.1
B7E7z,224.0
